image,description
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paperback_book_3905.png,A book titled cracking the tech career on a wooden surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/powdercontainer_4632.png,optimum nutrition performance whey
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/non_alcoholic_wine_bottle_3659.png,A bottle of wine sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food container_16.png,A white container sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/letter_envelope_3294.png,A piece of white paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/coke_can_1165.png,A can of coca cola sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle_2323.png,a small glass jar with a green lid on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_takeout_food_container_4553.png,A metal bowl filled with water sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_cereal_box_1559.png,A box of almond fruit crunch cereal on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_tomato_sauce_glass_1789.png,A bottle of tomato puree sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Guinness_beer_bottle_2596.png,a bottle of beer sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/flyer_2013.png,a bunch of items that are sitting on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/heineken_beer_bottle_2646.png,A green beer bottle sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_oatmeal_packet_4038.png,A brown paper bag sitting on top of a marble counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle_2234.png,A glass jar filled with white powder sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_tag_4075.png,A black and white business card sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cigarette_package_cardboard_box_752.png,A box of cigarettes sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard_box_509.png,A box of chocolate sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/coffee_bottle_plastic_1131.png,A can of coffee sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/flyer_1998.png,A magazine with a bunch of fruits and vegetables on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/gift_bag_2218.png,A blue shopping bag sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/grocery_store_flyer_2590.png,A magazine with a bunch of food items on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/coffee_metal_can_1127.png,A cup of coffee sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_catalog_3768.png,a close up of a business card on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle_2373.png,A clear glass bottle sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cereal_box_704.png,A box of cereal sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3473.png,a close up of a metal object on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/folded_paper_sheet_2052.png,a close up of a piece of paper on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Paper_Container_3979.png,A box of biscuits sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/receipt_4674.png,A piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/yellow_olive_can_5315.png,A can of olives sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_lemonade_bottle_4297.png,A bottle of pink lemonade sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/oat_milk_container_3687.png,A cardboard box sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/flyer_1937.png,A newspaper with a bunch of food on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_bottle_lid_3503.png,a close up of a white surface with a small hole in it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_waxed_coffee_cup_1808.png,A black cup sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic bottle_0.png,A plastic bottle with a blue cap sitting on a marble surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_bagg_4350.png,A plastic bag sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3464.png,A close up of a can of soda on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_leaflet_3849.png,A couple of pamphlets sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_cheese_4408.png,A piece of aluminum foil sitting on the ground.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/soft_drink_plastic_bottle_4916.png,A bottle of 7UP on a wooden surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/juice_carton_3223.png,A carton of apple juice on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard_box__488.png,A pair of speakers sitting on top of a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/rice_cardboard_box_4697.png,A box of instant white rice sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/shopping_bag_4838.png,A green plastic bag sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/mail_packaging_3384.png,A crumpled piece of brown paper on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/envelope_for_letter_1825.png,a close up of a piece of paper on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard box_11.png,A box with a piece of paper sticking out of it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/magazine_3376.png,an open book with a black and white image on it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/amazon_package_white_87.png,A white bag with the Amazon Prime logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/old_paper_magazine_3698.png,a magazine with a picture of a person holding a piece of paper
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_plastic_jar_1039.png,A jar of white powder sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/tomato_sauce_metal_can_5110.png,A can of sliced tomatoes sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_measuring_cup_4301.png,A beige plastic cup on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/shopping_plastic_bag_4841.png,A black and white bag sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/big_metal_lid_299.png,a close up of a metal container on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Plastic_Coffee_Cup_4418.png,A starbucks cup sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass bottle_89.png,A bottle of beer sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Metal_Juice_Can_3521.png,A can of coconut water sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/sticky_note_4962.png,A piece of yellow sticky paper on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/propolis_pills_4642.png,A bottle of propolis d'abeille sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_towel_cardboard_roll_4080.png,A roll of toilet paper sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic food container_15.png,A cup of yogurt sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3446.png,a close up of a metal container on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/spaghetti_cardboard_packaging_4937.png,A box of spaghetti sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/napkins_4353465.png,A white napkin sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3472.png,A close up of a glass with a spoon in it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Foam_plate_2016.png,A white plate sitting on top of a sidewalk.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_pickle_jar_2492.png,A jar of olive oil sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cookie_cardboard_packaging_1192.png,A box of cookies sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_cream_carton_1580.png,A box of lactantia cream sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food_metal_can_2124.png,a close up of a metal pipe on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/skincare_cardboard_box_4851.png,A box of The Ordinary hydrating lotion sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_and_plastic_packaging_3938.png,A package of band aid sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_apple_juice_carton_1510.png,A bottle of milk sitting on top of a white towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_bottle_of_vitamins_4244.png,A bottle of vitamin D3 sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/upside_down_polypropylene_take_out_food_container_5165.png,A white plastic container sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_paper_card_1681.png,A piece of white paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Dirty_plastic_tupper_1316.png,A plastic container sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/ice_tea_plastic_bottle_2668.png,A bottle of water sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/foil_food_wrapper_2022.png,A piece of foil on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can__3428.png,A can of white beans sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Plastic_Shampoo_Bottle_4541.png,A bottle of shampoo sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/soft_drink_metal_can_4913.png,A can of soda sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_wash_fluid_container_1800.png,A gallon of liquid sitting on top of a washing machine.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/toothpaste_box_5122.png,A tube of toothpaste sitting on top of a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_catalog_3778.png,A newspaper with a bunch of food on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/pills_bottle_4202.png,A close up of an orange plastic container on a marble surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3447.png,A can of canned food sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_container_4433.png,A jar of coconut oil sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle_2365.png,A brown beer bottle sitting on top of a snow covered ground.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_flyer_3831.png,a close up of a map with a pin on it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/greasy_cake_box_2509.png,A gold tray with a picture of a woman on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle_2300.png,A bottle of wine sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cosmetics_pad_plastic_bag_1214.png,A package of toilet paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass container.png,A jar of water sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_container_2385.png,A glass jar with a red sticker on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty plastic medicine case.png,Two packs of pills sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/stretchy_plastic_bag_4990.png,A plastic bag sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_plastic_yogurt_cup_943.png,A cup of yogurt sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_ball_3756.png,A crumpled piece of paper on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_shampoo_bottle_1753.png,A bottle of shampoo sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_envelope_3792.png,A piece of white paper with torn edges on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_leaflet__3845.png,a close up of a business card on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food_cardboard_packaging_2071.png,A bag of beans sitting on top of a white towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/chocolate_snack_metal_can_741.png,A can of chocolate hazelnuts sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Empty_plastic_wrap_1733.png,A hand holding a bag of shredded coconut.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_shopping_bag_4325.png,A white plastic bag with a blue logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/barbell_clip_127.png,A pair of scissors sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/closed plastic food box.png,A white container sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_leaflet_3850.png,A flyer for a concert with a piano on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/jam_glass_container_3206.png,A jar of mixed fruit sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard_packaging_of_dryer_sheets_553.png,A box of Bounce dryer sheets sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/root_beer_can_4722.png,A can of beer sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/milk_jug_3550.png,A gallon of milk sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/meat_container_3398.png,A plastic container filled with food sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/end_of_food_glass_container_1821.png,a close up of a glass vase on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic container_99.png,A clear plastic box sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Plastic_Ketchup_Bottle_4492.png,A bottle of mustard sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic bottle_6.png,A plastic water bottle sitting on a marble surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/lotion_bottle_3338.png,A bottle of baby wash sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/toilet_paper_roll_5083.png,A roll of toilet paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/pizza cardboard_534534.png,A pizza box sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic salsa container.png,A jar of salsa sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/dove_soap_package_1393.png,A box of Dove soap sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_water_bottle_4335.png,A bottle of water sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_soup_container_4547.png,A white bowl sitting on top of a table next to a plastic container.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cheese_snack_plastic_container_719.png,A jar of cheese sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/tetra_pack_container_5051.png,A carton of oat milk sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/small plastic lid.png,A small orange plastic container sitting on top of a carpet.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/nutella_container_3679.png,A jar of Nutella sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_milk_carton_min_1656.png,A carton of milk sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/dirty_tartar_sauce_bottle_1372.png,A bottle of heinz mayonnaise sitting on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food_glass_jar_2091.png,a small glass jar sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard_roll_666.png,A roll of toilet paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/ice cream spoon.png,A piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/pop_metal_can_4606.png,A can of soda sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/metal_can_3476.png,A metal bowl sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_yogurt_jar_2451.png,A small glass jar sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_flyer_3813.png,a package with a bottle of hair products on top of it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_frozen_ramen_bowl_1602.png,A close up of a speaker on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/face_moisturizer_1879.png,A tube of bulldog skincare for men on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/washer_plastic_bottle_5237.png,A gallon of reflex washer fluid sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/beer_bottle_165.png,A brown beer bottle with a label on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/flyer_1930.png,a close up of a magazine on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_napkin_clean__4030.png,A crumpled piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/bread_bag_371.png,A brown paper bag sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic container_16.png,Two plastic containers sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/wine_bottle_5274.png,A bottle of champagne sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Japanese_tea_plastic_bottle_3214.png,A bottle of water sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic and cardboard container.png,A package of food containers sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_yogurt_container_1066.png,A cup of yogurt sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/mens_cologne_cardboard_packaging_3412.png,A white box with a black and white design on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food_metal_can_2105.png,A can of canned food on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_plastic_food_container_894.png,A clear glass tray sitting on top of a granite counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/store_flyer_4972.png,a close up of a book on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_smart_water_plastic_bottle_951.png,A bottle of water sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_containers_4277.png,A couple of clear plastic containers sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/big_metal_lid_293.png,a white and gold plate with a gold rim
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/piece_of_ripped_paper_4184.png,A piece of paper that is laying on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/Empty_Stain_Container_1770.png,A can of paint sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/safeway_flyer_4731.png,A magazine with a picture of a bottle of water on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/bank_flyer_122.png,a close up of a piece of paper on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paper_container_clean_3980.png,A piece of paper that is sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/greasy_desert_container_2515.png,A person holding a plastic container filled with food.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/box_of_cream_cheese_354.png,A box of Philadelphia Original cheese sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/foil_pill_wrapper_2049.png,A piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/jar_of_milk_3217.png,A gallon of liquid sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/beer_bottle_190.png,A brown glass bottle with a white label on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/toothpaste_container_5126.png,A box of toothpaste sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/crumpled_paper_towel_1259.png,A white plastic bag laying on the ground.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food container.png,A cup of yogurt sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_juice_container_1007.png,A bottle of water sitting on a carpeted floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/small_plastic_water_bottle_4872.png,A plastic water bottle sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/solar_light_cardboard_packaging_4922.png,A green box sitting on top of a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/reciept_4677.png,A piece of paper sitting on top of a metal table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/olive_oil_glass_container_3705.png,A bottle of extra virgin olive oil sitting on a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/corn_metal_can_1205.png,A can of corn sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard box_8.png,A box of food sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/beer_bottle_197.png,A bottle of beer sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/food_glass_jar_2093.png,a glass jar with a label on it sitting on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/juice_plastic_bottle_3241.png,A plastic jug of water sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_starbucks_cup_1057.png,A clear plastic cup sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/amazon_bubble_mailer_80.png,A plastic bag with the Amazon Prime logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/clean_paper_cup_842.png,A paper cup with a green leaf design on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/corona_beer_bottle_1210.png,A clear glass bottle with a black label on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/pieces_of_paper_and_packaging_cardboard_4194.png,A brochure with a picture of a family in a living room.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/plastic_spice_bag_4548.png,A blue plastic bag sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/sanitizer_bottle_4746.png,A white soap dispenser sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/newspaper_3648.png,a bunch of magazines sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/cardboard_packaging_560.png,A package of green toothpaste sitting on top of a black surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/glass_bottle__2362.png,A glass bottle with a flower design on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/paperback_book_3904.png,A book sitting on top of a concrete floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Blue/empty_water_bottle_1804.png,A plastic bottle of water on a white surface.
